reward,reward_accumulate
-2.1460350312239114,-2.1460350312239114
-0.11960295507233278,-1.132818993148123
-0.34282802695641257,-0.8694886710842215
-0.39336497342034643,-0.7504577466682536
-0.34642672750264664,-0.6696515428351316
-0.3767820783811874,-0.6208399654261394
-0.32770337938065364,-0.5789633102767833
-0.2857201472053065,-0.5423079148928485
-0.24497845873425314,-0.509271308653005
-0.2755495398102347,-0.48589913176872734
-0.21546564140533822,-0.46131426900841993
-0.20590961186165957,-0.44003054757952453
-0.17774147522453657,-0.41985446509067864
-0.20016847048976597,-0.40416260833347034
-0.20173002411024563,-0.39066710271858945
-0.20010918612543538,-0.37875723293151803
-0.19486620275588107,-0.36794011350942146
-0.1576605755258141,-0.356257916954777
-0.1433466683065946,-0.34505206176276754
-0.18932995175631728,-0.33726595626244504
-0.16368510896097993,-0.32900020162904225
-0.15056418599185942,-0.32088947364553383
-0.17401497242093283,-0.3145036257662032
-0.15897523485856457,-0.30802327614505126
-0.10820856111955975,-0.3000306875440315
-0.11693222997497787,-0.2929884391759911
-0.12000722181863935,-0.2865817274220152
-0.10891956408860208,-0.28023665016010735
-0.1576799403435797,-0.2760105567181579
-0.1443089423182957,-0.27162050290482925
-0.15462150660211743,-0.2678463417337738
-0.1313080664521147,-0.2635795206312219
-0.14269272771900757,-0.2599162844823672
-0.11214229163536088,-0.2555699905751018
-0.12119355060761589,-0.25173066371888747
-0.14103336548766396,-0.2486557387680201
-0.1415757018002275,-0.2457616837148356
-0.13104577753474211,-0.24274284407851807
-0.132670104318758,-0.23992046613595985
-0.1585511045554107,-0.23788623209644724
-0.1521723355562746,-0.2357956492540039
-0.11819794218660601,-0.23299570384763674
-0.12862227544257282,-0.23056841481496088
-0.12349304627348137,-0.22813488371174517
-0.1260109710172582,-0.22586546342964547
-0.0817015620503061,-0.22273146557357248
-0.10306059655057334,-0.2201852768709557
-0.09905655895011857,-0.2176617619142717
-0.09345805234990277,-0.21512699233132485
-0.09683579489558101,-0.2127611683826098
-0.12328953074607324,-0.2110068225465993
-0.08951659473749037,-0.20867047201180905
-0.09330989211990337,-0.20649385729686762
-0.10571403485873977,-0.20462756428875417
-0.10029216553217758,-0.2027305570386348
-0.14531115473366388,-0.20170521056890292
-0.13808039667101124,-0.2005889857636767
-0.13988366706686048,-0.19954234233786952
-0.10531872005410023,-0.1979453317906871
-0.11782135583295496,-0.19660993219139195
-0.1259383422269916,-0.19545138153623842
-0.11166221552960844,-0.19409994337484118
-0.08182729860588021,-0.19231783790231805
-0.14875402194346715,-0.19163715327796077
-0.10480473716312098,-0.19030126995311702
-0.09914983103406189,-0.1889201875452526
-0.12859594393464793,-0.1880198257003183
-0.10932668264508336,-0.18686257359656464
-0.14069524541187917,-0.18619348188374324
-0.10260954166872739,-0.1849994255949572
-0.09998247988859899,-0.18380200382444511
-0.13429544006679398,-0.18311441266114425
-0.09971447672320786,-0.18197194778528225
-0.12453696019589754,-0.1811957993043445
-0.09459923497002383,-0.18004117844655337
-0.10461498037449041,-0.17904872847192096
-0.1355869418185228,-0.1784842896842143
-0.12293919269147552,-0.17777217305610246
-0.11962861702337856,-0.17703617867594096
-0.09287989907118237,-0.17598422518088133
-0.0902130484588672,-0.17492532176455994
-0.1125095452461974,-0.17416415375823843
-0.07069370306362785,-0.17291752182215908
-0.0918944558068558,-0.17195296151245326
-0.09748983018122447,-0.17107692467326222
-0.09783524639802325,-0.17022527725145745
-0.11170265355371578,-0.16955260341585107
-0.13097148183411653,-0.16911418157969502
-0.14435725967257446,-0.16883601391781758
-0.08672440529127631,-0.16792366271085613
-0.11175860283674838,-0.16730646425070086
-0.1364581337145193,-0.16697115631009016
-0.1058665948223204,-0.16631411801452278
-0.11649155096999718,-0.1657840907055386
-0.08476261488797525,-0.16493123306535348
-0.12046093091391424,-0.1644680007512762
-0.11753704175535018,-0.1639841764317305
-0.1302877342217709,-0.1636403351846899
-0.08913510003759786,-0.16288775705189074
-0.11470823539523124,-0.16240596183532435
-0.11159942731357853,-0.1619029268400594
-0.10895591831150571,-0.16138383852115176
-0.09248983648925896,-0.16071496471501712
-0.12746274536375926,-0.16039523183663926
-0.09914385563671908,-0.15981188539663993
-0.11270467546260171,-0.15936747775575266
-0.10113423674453875,-0.15882324185845162
-0.10979028467182039,-0.1583692329956122
-0.14243394798222297,-0.15822303772026064
-0.12843221005098987,-0.1579522120141764
-0.11779651011486404,-0.1575904489340021
-0.0948363008118575,-0.15703014404005425
-0.1149242279002932,-0.15665752531315355
-0.13434739154549336,-0.1564618223853669
-0.09104182830219705,-0.15589295287160085
-0.10685860421592293,-0.1554702429693972
-0.12382736846929893,-0.15519979105059253
-0.12908947214473523,-0.15497851716155975
-0.09435347434244637,-0.15446906302022262
-0.10341290129737359,-0.15404359500586542
-0.10355992396790618,-0.1536263745840643
-0.0939312632779765,-0.1531370703930307
-0.0831333508048792,-0.15256793446141964
-0.07164874460659089,-0.15191536034968675
-0.0729098832893084,-0.15128331653320334
-0.08133339184023657,-0.15072815840071968
-0.06694934557522773,-0.1500684827091804
-0.07762189270755832,-0.1495024937247926
-0.08410598419566706,-0.14899554403852022
-0.09047383430878958,-0.14854537704059942
-0.08911303010250135,-0.14809169500290406
-0.08408798851247522,-0.14760681843858245
-0.08846845044153677,-0.14716216905514606
-0.08715075162956251,-0.14671432265644763
-0.08010222973880018,-0.1462208997459467
-0.060533482154370426,-0.14559084520483223
-0.07332225730074841,-0.14506333726392617
-0.05689675337925066,-0.14442444897490664
-0.07067226376728307,-0.1438938577144202
-0.054979273616983695,-0.14325875354229606
-0.05833598932262218,-0.14265646443435473
-0.05784333550964215,-0.14205918887854685
-0.05896691423777996,-0.1414781240209192
-0.06395304224138766,-0.14093975539745027
-0.05554486976524416,-0.14035082515171082
-0.06626750668813822,-0.13984340516223426
-0.05927077293294758,-0.13929529201781757
-0.06360216563332552,-0.13878385197467924
-0.04388234107257216,-0.138146929082719
-0.04963249387667344,-0.13755683284801215
-0.04939986593693226,-0.13697301187509103
-0.04965205387264684,-0.13639853188823295
